"name","post_modified","post_date","byline","alt_text","description","place_name"
"82203SUB065.jpg","05/04/2017","05/04/2017","Courtesy of SMSC Wozupi Tribal Garden","Shakopee, MN: SMSC Wozupi Tribal Garden","Shakopee, MN is home to the&nbsp;SMSC Wozupi Tribal Garden which features several plants and gardens.&nbsp;","Shakopee"
"Naperville IL.jpg","05/05/2017","05/05/2017","Courtesy of Mary Warren under a  CC 4.0  license.",,,
"Memphis-TN-Jeremy-Sorrells.jpg","05/05/2017","05/05/2017","Courtesy of Jeremy Sorrells under a CC 4.0 license.","Memphis TN",,
"West_Hartford_CT.jpg","06/14/2017","05/05/2017","Courtesy of Patrick under a  CC 2.0  license.","West Hartford CT",,
"iStock_000030341424_XXXLarge.jpg","05/05/2017","05/05/2017",,,,
"8341016JWA4224.jpg","07/30/2017","05/05/2017","Jeff Adkins",,,
"1250615BM6743.jpg","05/05/2017","05/05/2017","Staff Photo","Downtown Asheville, NC","People dining at Carmel's Bistro &nbsp;located at the Grove Arcade in downtown Asheville.",
"8040113JWA8508.jpg","07/30/2017","05/05/2017","Jeff Adkins",,,
"6930117VSGFRE007.jpg","05/05/2017","05/05/2017","Versatility Creative Group","Castle Rock, CO Sports and Recreation","Castle Rock, CO offers a variety of sports and recreation options at the Miller Activity Complex.&nbsp;","Castle Rock"
"6930117VSGFRE110.jpg","05/05/2017","05/05/2017","Versatility Creative Group","Castle Rock, CO Brewing Companies","Castle Rock, CO is home to a variety of brewing companies, including&nbsp;Rockyard American Grill &amp; Brewing Company.","Castle Rock"
"8100715MDT0033.jpg","07/30/2017","05/05/2017","Michael D. Tedesco",,,
"8160214JWA4831.jpg","07/30/2017","05/05/2017","Jeff Adkins",,,
"69308SUB054.jpg","05/09/2017","05/05/2017","Courtesy of the Town of Castle Rock","Castle Rock, CO: Festival Park","Castle Rock, CO has a variety of new developments, including Festival Park.&nbsp;","Castle Rock"
"Sapporo-Japanese-Steakhouse.jpg","05/05/2017","05/05/2017","Staff Photo",,,
"69308SUB060.jpg","05/05/2017","05/05/2017","Courtesy of Castle Rock Museum","Castle Rock, CO Museum","Castle Rock, CO is known for its impressive arts and culture, including its museums.&nbsp;","Castle Rock"
"6930316JWA7180.jpg","05/05/2017","05/05/2017","Jeff Adkins","Castle Rock, CO Schools","Castle Rock, CO has several schools that offer great educational programs, including&nbsp;Sage Canyon Elementary School.&nbsp;","Castle Rock"
"1771114DM5767.jpg","05/05/2017","05/05/2017","Staff Photo",,,
"idaho.jpg","05/05/2017","05/05/2017","Staff Photo","Move to Idaho",,
"jacksonville-nc-shopping.jpg","05/05/2017","05/05/2017","courtesy of Mike Kalasnik under a  CC 4.0  license.",,,
"schools.jpg","05/05/2017","05/05/2017",,,,
"golf.jpg","05/05/2017","05/05/2017",,,,
"angry-ginger.jpg","05/05/2017","05/05/2017","Courtesy of The Angry Ginger Irish Pub",,,
"business.jpg","05/05/2017","05/05/2017",,,,
"recreation.jpg","05/05/2017","05/05/2017",,,,
"828061715FO15706.jpg","08/02/2017","05/05/2017","Frank Ordoñez","Idaho Falls ID","Eastern Idaho Regional Medical Center in Idaho Falls, ID",
"83801SUB056.jpg","05/08/2017","05/08/2017","Spencer Pernikoff","Chesterfield, MO Restaurants","Chesterfield, MO has a variety of restaurants that are local dining favorites, including Annie Gunn's.","Chesterfield"
"8380117JNFRE115.jpg","05/08/2017","05/08/2017","Jerry Naunheim Jr.","Chesterfield, MO Employers","Chesterfield, MO has several top employers, including the Spirit of St. Louis Airport.","Chesterfield"
"asheville-nc-food.jpg","05/09/2017","05/09/2017","Staff Photo","Asheville NC Restaurants",,
"8290616SWFRE164.jpg","05/09/2017","05/09/2017","Staff Photo","Minneapolis, MN","U.S. Stadium in Minnesota.",
"uncle-micks-cajun-market-prattville-al.jpg","05/09/2017","05/09/2017","Staff Photo","Prattville AL Uncle Micks Cajun Market",,
"6930117VSGFRE007.jpg","05/09/2017","05/09/2017","Versatility Creative Group","Castle Rock, CO Recreation","Castle Rock, CO has several recreation venues, including the Miller Activity Complex.&nbsp;","Castle Rock"
"83801SUB106.jpg","05/09/2017","05/09/2017","Mercy Virtual","Chesterfield, MO Health Care","Chesterfield, MO has a variety of health care providers and medical facilities.&nbsp;","Chesterfield"
"83801SUB052.jpg","05/09/2017","05/09/2017","Jad Ryherd","Chesterfield, MO Retailers","Chesterfield, MO has a variety of retailers and shopping areas, including the&nbsp;Taubman Prestige Outlets.","Chesterfield"
"83801SUB091.jpg","05/09/2017","05/09/2017","Courtesy of Parkway School District","Chesterfield, MO Schools","Chesterfield, MO has a variety of great schools, including the Parkway School District.","Chesterfield"
"83801SUB078.jpg","05/09/2017","05/09/2017","Jim Compton","Chesterfield, MO Sports and Recreation","Chesterfield, MO offers several sports and recreation options, including&nbsp;Monarch Chesterfield Levee Trail.","Chesterfield"
"8380117JNFRE083.jpg","05/09/2017","05/09/2017","Jerry Naunheim Jr.","Chesterfield, MO Real Estate","Chesterfield, MO offers a variety of amenities for residents to live, work and play, including great real estate options.&nbsp;","Chesterfield"
"83801SUB107.jpg","05/09/2017","05/09/2017","Mercy Virtual","Chesterfield, MO Businesses","Chesterfield, MO businesses include successful health care facilities like Mercy Virtual.","Chesterfield"
"83801SUB007.jpg","05/09/2017","05/09/2017","Todd Morgan BackBeat-Photography","Chesterfield, MO Arts and Culture","Chesterfield, MO hosts a variety of arts and cultural&nbsp;events, including the&nbsp;Sounds of Summer Concert Series.","Chesterfield"
"Murfreesboro.jpg","05/10/2017","05/10/2017","Courtesy of David James under a  CC 4.0  license.",,,"Murfreesboro"
"Cary NC.jpg","05/11/2017","05/11/2017","Category: Places Courtesy of bobistraveling under a  CC 4.0  license.",,,
"Fairfax VA.jpg","05/11/2017","05/11/2017","Courtesy of Jeff Rosenberg under a  CC 4.0  license.",,,
"princeton-nj-iStock-458702329.jpg","05/11/2017","05/11/2017","istock aimintang","Princeton NJ",,
"6798647791_4260f5603e_o.jpg","05/12/2017","05/12/2017","Courtesy of slack12 under a  CC 4.0  license.",,,
"1831114MDT4123.jpg","05/17/2017","05/15/2017","Michael Tedesco","Day Block Brewing Minneapolis, MN",,
"Jackson_Hole_WY 2.jpg","05/15/2017","05/15/2017","courtesy of Mr. Jason Hayes under a  CC 4.0  license.",,,"Jackson"
"EMBA-13Jun14-96.jpg","05/16/2017","05/16/2017",,,,
"University-of-Maryland-Medical-Center.jpg","05/16/2017","05/16/2017",,,,
"DK12900.jpg","08/17/2017","05/16/2017","Doug Kapustin",,,
"baltimore-sponsored-content-header.jpg","08/21/2017","05/16/2017","John T. Consoli",,,"Baltimore"
"SolarEclipse.jpg","05/26/2017","05/17/2017","Courtesy of GohRo under a  CC 4.0  license.","Solar Eclipse",,
"ScottCounty17v3W2.jpg","05/17/2017","05/17/2017",,,,
"OBannons_Taphouse.jpg","05/17/2017","05/17/2017","Courtesy of O'Bannon's Taphouse",,,"College Station"
"Chesterfield17v1W.jpg","05/14/2018","05/22/2017",,"Chesterfield, MO Digital Magazine",,"Chesterfield"
"Chesterfield_Logo.PNG","05/22/2017","05/22/2017",,"Chamber of Commerce Logo",,"Chesterfield"
"tn.jpg","05/23/2017","05/23/2017",,,,
"1050112JWA0857.jpg","07/30/2017","05/23/2017","Jeff Adkins","Arts in Nashville, TN",,"Nashville"
"CCHutten.jpg","05/24/2017","05/24/2017",,,,
"MNEDG16v2W.jpg","05/24/2017","05/24/2017",,,,
"Maury17_v21W.jpg","08/30/2017","05/25/2017",,"Maury County, TN Digital Magazine",,
"CatalystChicago.jpg","05/25/2017","05/25/2017","Staff Photo","Catalyst in Chicago, IL",,
"8040116JWA0185.jpg","07/30/2017","05/25/2017","Jeff Adkins","Catalyst Chicago, IL",,"Chicago"
"708032416FO37033.jpg","05/30/2017","05/30/2017","Frank Ordonez","Tyler, TX Historic Downtown","Tyler, TX is known for its historic downtown area which has a host&nbsp;of attractions and things to do.&nbsp;","Tyler"
"70812SUB020.jpg","05/30/2017","05/30/2017","Callynth Finney","Tyler, TX Retail","Tyler, TX is a retail hub with several shopping areas and specialty shops throughout the area.&nbsp;","Tyler, TX Metro Area"
"7080217JWA3256.jpg","05/30/2017","05/30/2017","Jeff Adkins","Tyler, TX Educational Opportunities","Tyler, TX has a variety of educational opportunities at area higher learning institutions.&nbsp;","Tyler"
"70812SUB029.jpg","05/30/2017","05/30/2017","Diana Carter","Tyler, TX Veterans Alliance","Tyler, TX has a strong Veterans Alliance which is helpful to troops in the region.&nbsp;","Tyler"
"7080217JWA5728.jpg","05/30/2017","05/30/2017","Jeff Adkins","Tyler, TX Restaurants","Tyler, TX has a variety of restaurants, including local favorite Smoke Shack.&nbsp;","Tyler"
"7080217JWA0203.jpg","05/30/2017","05/30/2017","Jeff Adkins","Tyler, TX Boutique Resort","Tyler, TX is home to a variety of specialty shops, including a Boutique Resort.","Tyler"
"83009161598MDT.jpg","07/30/2017","05/31/2017","Michael D. Tedesco","Lake Charles LA",,
"9131067773_999015d9f6_z.jpg","05/31/2017","05/31/2017","courtesy of https://www.flickr.com/photos/97954197@N06/","Fort Smith, AR",,
"32017SUB016.jpg","06/01/2017","06/01/2017","Courtesy of Maury County",,"Maury County, TN is known for its great quality of life and arts and culture, including festivals like the annual Mule Festival.","Columbia"
"Lewisburg_Bridge 2015 (1).jpg","06/02/2017","06/01/2017","Courtesy of City of Lewisburg","Lewisburg, TN Parks",,"Lewisburg"
,"06/25/2018","06/01/2017",,"Victor Valley, CA Digital Magazine",,"Victorville"
"37817SUB046.jpg","06/06/2017","06/06/2017","Courtesy of the CVB","Abingdon, VA Agriculture Industry","Abingdon, VA has a rich agriculture industry throughout the Washington County region.&nbsp;","Abingdon"
,"06/06/2017","06/06/2017",,,"Abingdon, VA offers advantages for small businesses and entrepreneurs in the Washington County area.&nbsp;",
"Neighborhood.jpg","06/07/2017","06/07/2017","Courtesy of J Stimp under a  CC 4.0  license.",,,
"25989742120_debdba0e70_b.jpg","06/07/2017","06/07/2017","Courtesy of Olin Gilbert under a  CC 4.0  license.",,,"Florida"
"3780117ENFRE026.jpg","06/07/2017","06/07/2017","Earl Neikirk","Abingdon, VA Businesses",,"Abingdon"
"37817SUB053.jpg","06/07/2017","06/07/2017","Emory & Henry College","Abingdon, VA Colleges",,"Abingdon"
"37816SUB011.jpg","06/07/2017","06/07/2017","Jason Barnette","Abingdon, VA Downtown",,"Abingdon"
"California.jpg","06/08/2017","06/08/2017","Courtesy of Thomas Hawk under a  CC 4.0  license.",,,"California"
"Colorado industries.jpg","08/09/2017","06/08/2017","Courtesy of Jasen Miller under a  CC 4.0  license.",,,"Colorado"
"7080217JWA2110.jpg","06/08/2017","06/08/2017","Jeff Adkins","Tyler, TX","Tyler, TX has a large list of amenities, including a high quality of life for residents of all ages.&nbsp;","Tyler"
"15174035634_7df680f8f1_k.jpg","06/09/2017","06/09/2017","Courtesy of Thomas Hawk under a  CC 4.0  license.",,,
"CastleRockCO2017W.jpg","08/29/2017","06/12/2017",,,,
"8884493965_5b07238fbe_b.jpg","06/12/2017","06/12/2017","courtesy of https://www.flickr.com/photos/chanc/",,,
"20611454766_001aa903b8_h.jpg","06/12/2017","06/12/2017","courtesy of https://www.flickr.com/photos/archer10/",,,"California"
"ITTX17v12W.jpg","01/03/2018","06/12/2017",,"Tyler, TX Digital Magazine",,"Tyler"
,"06/05/2018","06/12/2017",,"Abingdon, VA Digital Magazine",,"Abingdon"
"beer.jpg","06/14/2017","06/14/2017","Staff Photo","Asheville NC Highland Brewing Company",,"Asheville"
"top-employers.jpg","06/14/2017","06/14/2017","Staff Photo","NC Top Employers",,"North Carolina"
"best-places-tennessee.jpg","06/14/2017","06/14/2017","Staff Photo","Best Places to Live in Tennessee",,"Tennessee"
"oxford-ms.jpg","06/14/2017","06/14/2017","courtesy of Damian Entwistle","Oxford MS",,
"attract-talent-diversity.jpg","06/14/2017","06/14/2017","courtesy of David Yu","Attract Talent Diversity",,
"tennessee-outdoor-adventure-travel.jpg","06/14/2017","06/14/2017","Staff Photo","Tennessee Outdoor Adventure",,
"El Paso_17v7W.jpg","08/29/2017","06/14/2017",,,,
"3377136488_6352d1e3d1_b.jpg","08/23/2017","06/14/2017","Courtesy of Dana McMahan under a  CC 2.0  license.","Nord's Bakery Louisville, KY",,
"shakopee-mn-things-to-do.jpg","06/14/2017","06/14/2017","Staff Photo","Shakopee MN",,"Shakopee"
"shakopee-mn-outdoor-recreation.jpg","06/14/2017","06/14/2017","Staff Photo","Shakopee MN",,"Shakopee"
"shakopee-mn-outdoor-recreation2.jpg","06/14/2017","06/14/2017","Staff Photo","Shakopee MN",,"Shakopee"
"Becky.jpg","06/14/2017","06/14/2017",,,,
"343517THFRE017.jpg","06/15/2017","06/15/2017","Troy Herring","Elizabeth City, NC Arts",,"Elizabeth City"
"34316SUB013.jpg","06/15/2017","06/15/2017","Courtesy of Pasquotank County Economic Development","Elizabeth City, NC Business",,"Elizabeth City"
"iStock-523161304.jpg","06/15/2017","06/15/2017","istock.com/rez-art","Elizabeth City, NC Restaurants",,"Elizabeth City"
"34316SUB041.jpg","06/15/2017","06/15/2017","Roger Ball","Elizabeth City, NC Solar Farm",,"Elizabeth City"
"marion-ia-arts.jpg","06/15/2017","06/15/2017","Courtesy of Giving Tree Theater","Marion IA Arts",,"Marion"
"marion-ia-farmers-market.jpg","06/15/2017","06/15/2017","Staff Photo","Marion IA Farmers Market",,"Marion"
"elizabeth-city-sentara-medical.jpg","06/15/2017","06/15/2017","Courtesy of Sentara Albemarle Medical Center","Elizabeth City Health",,"Elizabeth City"
"elizabeth-city-education.jpg","06/15/2017","06/15/2017","Courtesy of College of the Albemarle","Elizabeth City NC Schools",,"Elizabeth City"
"pet-friendly-livability.jpg","06/15/2017","06/15/2017","Staff Photo","Pet Friendly Livability",,
"gillette-wy-recreation-center.jpg","06/15/2017","06/15/2017","Staff Photo","Gillette WY Recreation Center",,"Gillette"
"6040115MDT3104.jpg","06/15/2017","06/15/2017","Staff Photo","Gillette WY Business",,"Gillette"
"gillette-wy-recreation-center2.jpg","06/15/2017","06/15/2017","Staff Photo","Gillette WY Recreation",,"Gillette"
"6040115MDT4484.jpg","07/30/2017","06/15/2017","Michael D. Tedesco","Gillette WY",,"Gillette"
"6040306WA6039.jpg","07/26/2017","06/15/2017","Wes Aldridge","Gillette WY",,"Gillette"
"6040813jso0675.jpg","08/01/2017","06/15/2017","Jeffrey S. Otto","Gillette WY Golf",,"Gillette"
"6041011BM6747.jpg","07/30/2017","06/15/2017","Brian McCord","Gillette WY Pioneer Manor",,"Gillette"
"3431012MJC2178Horiz.jpg","07/30/2017","06/16/2017","Michael Conti","Elizabeth City NC","Albemarle River in Elizabeth City NC","Elizabeth City"
"3431013WJO1324horiz.jpg","06/16/2017","06/16/2017","Staff Photo","Elizabeth City, NC","Elizabeth City, NC is known for its beautiful waterfront.","Elizabeth City"
"3471013BM9691horiz.jpg","07/30/2017","06/16/2017","Brian McCord","Danville KY",,"Danville"
"34714SUB058.jpg","06/19/2017","06/19/2017","Chris Radcliffe","Danville KY","Eastern Kentucky University","Danville"
"3471014MJC0075.jpg","07/30/2017","06/19/2017","Michael Conti","Danville KY","Mary Smith and her daughter, prospective student Claire Smith, talk to senior Hope Wigginton about Centre College at Centre College in Danville, Kentucky, Boyle County.","Danville"
"3471213MJC0281.jpg","07/30/2017","06/19/2017","Michael Conti","Danville KY","Students weigh pieces of clay to be used in a science experiment at Bate Middle School in Danville, Kentucky, Boyle County.","Danville"
"3471213MJC0166.jpg","07/30/2017","06/19/2017","Michael Conti","Danville KY","Jimmy Buck paints panels for portable electrical generators at the Denyo manufacturing plant in Danville, Boyle County, Kentucky.","Danville"
"6520614MDT4953.jpg","06/19/2017","06/19/2017","Staff Photo","El Paso TX","Southwest University Stadium, 2 Civic Center Plaza, El Paso TX. Home to the MLB San Diego Padres &nbsp;Triple A affiliate El Paso Chihuahuas","El Paso"
"6520813FO8030.jpg","07/30/2017","06/19/2017","Frank Ordoñez","El Paso TX","Venue at Montecillo","El Paso"
"6520816BWFRE0029.jpg","06/19/2017","06/19/2017","Staff Photo","El Paso TX","San Jacinto Plaza is a historic park located on the corner of Oregon and Mills in the heart of Downtown El Paso, Texas. The newly remodeled park opened in April 2016.","El Paso"
"6520813FO8091.jpg","07/30/2017","06/19/2017","Frank Ordoñez","El Paso TX","Runners and walkers take advantage of the beautiful rugged setting and challenging road that leads to McKelligon Canyon Park in El Paso, TX","El Paso"
"Mayo_Clinic.jpg","06/19/2017","06/19/2017","iStock.com/DNY59","Mayo Clinic",,"Minnesota"
"3470709JWA2489.jpg","07/30/2017","06/19/2017","Jeff Adkins","Danville KY","Large houses have great views of the course at the Old Bridge golf course in Danville, Kentucky. Old Bridge is an 18-hole golf course &nbsp;located next to Herrington Lake.&nbsp;","Danville"
"3471112MBC9538horiz.jpg","06/19/2017","06/19/2017","Staff Photo","Danville KY","Centre students walk across campus. Centre College is a nationally recognized liberal arts college in Danville KY.","Danville"
"34710167764MDT.jpg","07/30/2017","06/19/2017","Michael D. Tedesco","Danville KY","Plank on Main a boutique fitness studio, juice cafe, and products for the active and health-conscious. Offering yoga, pilates, &amp; barre in Danville KY","Danville"
"3470709JWA2505horiz.jpg","06/19/2017","06/19/2017","Staff Photo","Danville KY","Colorful cliffs rise out of the water at Herrington Lake in Danville, Kentucky.","Danville"
"82902SUB138.jpg","06/19/2017","06/19/2017","ALLINA HOSPITALS & CLINICS","St Francis Hospital",,
"Portsmouth_NH.jpg","06/20/2017","06/20/2017","Courtesy of Doug Kerr under a  CC 2.0  license.","Portsmouth, NH","View of the bridge over Portsmouth, NH.","Portsmouth"
"Leesburg_VA_Families.JPG","06/20/2017","06/20/2017","Courtesy of Town of Leesburg","Leesburg, VA","The lazy river and slide tower at the A.V. Symington Outdoor Aquatic Center in Leesburg, Virginia’s Ida Lee Park.","Leesburg"
"Traverse_City_MI01.jpg","06/20/2017","06/20/2017","Courtesy of Traverse City Convention & Visitors Bureau","Traverse City, MI","Dogsled rides are offered in Traverse City, Michigan.","Traverse City"
"Panama_City_FL.jpg","06/20/2017","06/20/2017","Courtesy of dconvertini under a  CC 2.0  license.","Panama City, FL","The beach at Panama City, Florida.","Panama City"
"Louisville_KY.jpg","06/20/2017","06/20/2017","Courtesy of Chris Watson under a  CC 2.0  license.","Louisville, KY","Downtown Louisville, KY from the Ohio River.","Louisville"
"Emily_Handy.png","06/26/2017","06/20/2017",,,,
"CT_fall_foliage.jpg","06/20/2017","06/20/2017","Courtesy of Mark Hester under a  CC 2.0  license.","Torrington, CT","Fall scenery in Torrington, CT.","Torrington"
"Shreveport_LA_Fair.jpg","06/20/2017","06/20/2017","Courtesy of Shreveport-Bossier Convention and Tourist Bureau under a  CC 2.0  license.","Shreveport, LA","The State Fair of Louisiana in Shreveport.","Shreveport"
"5620250067_58a780ef63_b.jpg","06/20/2017","06/20/2017","Courtesy of David Wilson under a  CC 2.0  license.","Memphis, TN",,"Memphis"
"Bismarck_Hawktre_Golf_Course03.jpg","06/20/2017","06/20/2017","Dan Koeck","Bismarck, ND","Hawktree Golf Course in Bismarck, ND.","Bismarck"
"Redmond_WA_Beer.jpg","06/20/2017","06/20/2017","Courtesy of Henry Alva under a  CC 2.0  license.","Redmond, WA","Mac &amp; Jack's from Redmond, WA growlers.","Redmond"
"Portland_OR_Beer.jpg","06/21/2017","06/21/2017","Courtesy of throgers under a  CC 2.0  license.","Portland, OR","Hair of the Dog in Portland, OR.","Portland"
"Morrisville_VT_Beer.jpg","06/21/2017","06/21/2017","Courtesy of Adam Chandler under a  CC 2.0  license.","Morrisville, VT","Barbecue and beer at Lost Nation Brewing in Morrisville, VT.","Morrisville"
"Bloomington_IN_Beer.jpg","06/21/2017","06/21/2017","Courtesy of Alyson Hurt under a  CC 2.0  license.","Bloomington, IN","A flight of beer at Upland Brewing in Bloomington, IN.","Bloomington"
"Boise_ID_Beer.jpg","06/21/2017","06/21/2017","Courtesy of Sockeye Grill & Brewery","Boise, ID","A night on the Sockeye Grill &amp; Brewery patio in Boise, ID.","Boise"
"Gainesville_FL_Beer.jpg","06/21/2017","06/21/2017","Courtesy of Andrew Turner under a  CC 2.0  license.","Gainesville, FL","Saison du Swamp at Swamp Head Brewery in Gainesville, FL.","Gainesville"
"Hays_KS_Beer.jpg","06/21/2017","06/21/2017","Thomas Zimmerman","Hays, KS","Walk up to Lb Brewing Co’s bar, and you'll be met with their many American Beer Festival banners. Of course, choosing just one brew is hard, so make sure to get a sampler to try eight different flavors.","Hays"
"Louisville_KY_Beer.jpg","06/21/2017","06/21/2017","Courtesy of Pam Culver under a  CC 2.0  license.","Louisville, KY","A flight of beer in Louisville, KY.","Louisville"
"4856306827_ebae9d438e_b.jpg","08/23/2017","06/21/2017","Courtesy of Sean Davis under a  CC 2.0  license.","Memphis, TN",,"Memphis"
"Henderson_NV.jpg","06/21/2017","06/21/2017","Courtesy of Robert Ciavarro under a  CC 2.0  license.","Henderson, NV","Lake Las Vegas in Henderson, NV.","Henderson"
"Harrisburg_PA_Beer.jpg","06/21/2017","06/21/2017","Courtesy of Andrew Holmes under a  CC 2.0  license.","Harrisburg, PA","Appalachian Brewing in Harrisburg, PA.","Harrisburg"
"Colorado_Spring_CO_Pets.jpg","06/21/2017","06/21/2017","Courtesy of Jasen Miller under a  CC 2.0  license.","Colorado Springs, CO","Two huskies in Colorado Springs, CO.","Colorado Springs"
"Dobbs_Ferry_NY.jpg","06/21/2017","06/21/2017","Courtesy of","Dobbs Ferry, NY","The Estherwood House in Dobbs Ferry, NY.","Dobbs Ferry"
"Minneapolis_MN_Music.jpg","06/21/2017","06/21/2017","Courtesy of Dustin Gaffke under a  CC 2.0  license.","Minneapolis, MN","Panic! At the Disco performs at the&nbsp;Basilica Block Party in Minneapolis, MN.","Minneapolis"
"2020100JWA3342.jpg","06/21/2017","06/21/2017","Staff Photo","Charlotte NC","Visitors listen to the music of Trial by Fire during Party in the Park at the new Romare Bearden Park in downtown Charlotte, North Carolina.","Charlotte"
"Charlotte_NC_Books.jpg","06/21/2017","06/21/2017","Courtesy of Chris Goldberg under a  CC 2.0  license.","Charlotte, NC","Julia's Coffee bookstore in Charlotte, NC.","Charlotte"
"Burlington_VT.jpg","06/21/2017","06/21/2017","Courtesy of heipei under a  CC 2.0  license.","Burlington, VT","Downtown Burlington, VT.","Burlington"
"151AIK0808IC0023horiz.jpg","06/21/2017","06/21/2017","Staff Photo","Charleston SC","In Aiken, SC Hopelands Gardens appeals to residents looking for a tranquil spot to enjoy nature.","Aiken"
"Santa_Fe_NM_FM.jpg","06/21/2017","06/21/2017","Courtesy of La Citta vita under a  CC 2.0  license.","Santa Fe, NM","Santa Fe farmers market.","Santa Fe"
"Santa_Cruz_CA_FM.jpg","06/21/2017","06/21/2017","Courtesy of Peter Andersson under a  CC 2.0  license.","Santa Cruz, Ca","Farmers market in Santa Cruz, CA.","Santa Cruz"
"Boulder_CO_FM.jpg","06/21/2017","06/21/2017","Courtesy of Jason Janelle under a  CC 2.0  license.","Boulder, CO","Farmers market in Boulder, CO.","Boulder"
"Burlington_VT_FM.jpg","06/21/2017","06/21/2017","Courtesy of Katherine Martinelli under a  CC 2.0  license.","Burlington, VT","Farmers market in Burlington, VT.","Burlington"
"Portland_OR_FM.jpg","06/21/2017","06/21/2017","Courtesy of drburtoni under a  CC 2.0  license.","Portland, OR","Farmers market in Portland, OR.","Portland"
"Chattanooga_TN_FM.jpg","07/12/2017","06/21/2017","Courtesy of Larry Miller under a  CC 2.0  license.","Chattanooga, TN","Farmers market in Chattanooga, TN.",
"puppy1.jpg","06/21/2017","06/21/2017","M.A. Orr","Franklin, TN",,
"8130715MDT7639.jpg","06/21/2017","06/21/2017","Staff Photo","Rochester MN","Quarry Hill Nature Center and Park, 701 Silver Creek Road NE, Rochester, MN","Rochester"
"8130216SWFRE066.jpg","06/21/2017","06/21/2017","Staff Photo","Rochester MN","Minnesota BioBusiness Center","Rochester"
"8130216SWFRE125.jpg","06/21/2017","06/21/2017","Staff Photo","Rochester MN","Grand Round Breweries","Rochester"
"State_College_PA.jpg","06/21/2017","06/21/2017","Courtesy of Penn State under a  CC 2.0  license.","State College, PA","Penn State's Old Main building in State College, PA.","State College"
"81301SUB046.jpg","06/21/2017","06/21/2017","Chad Johnson","Rochester MN","River Walk","Rochester"
"Columbus_OH.jpg","06/21/2017","06/21/2017","Courtesy of Stephen Wolfe under a  CC 2.0  license.","Columbus, OH","Downtown Columbus, OH.","Columbus"
"8130715MDT8370horiz.jpg","07/30/2017","06/21/2017","Michael D. Tedesco","Rochester MN","Historic 3rd Street, Rochester, MN","Rochester"
"81301SUB082horiz.jpg","06/21/2017","06/21/2017","Lisa Battles","Rochester MN","Paragon Chateau 14 Theater","Rochester"
"Maitland_FL.jpg","06/21/2017","06/21/2017","Courtesy of Don Thomas CPA","Maitland, FL","A view of Maitland, FL.","Maitland"
"81302SUB011horiz.jpg","06/21/2017","06/21/2017","Courtesy of Four Daughter Vineyard & Winery","Rochester MN",,"Rochester"
"8130715MDT8019.jpg","07/30/2017","06/21/2017","Michael D. Tedesco","Rochester MN","Soldier's Field Park, George Gibbs Drive SW, Rochester, MN. Soldiers Field Veterans Memorial
is dedicated to all veterans for their service in the Armed Forces of the United States of America.","Rochester"
"puppies-walking.jpg","06/21/2017","06/21/2017","M.A. Orr",,,"Franklin"
"Princeton_NJ.jpg","06/21/2017","06/21/2017","Courtesy of Khurt Williams under a  CC 2.0  license.","Princeton, NJ","The streets of Princeton, NJ.","Princeton"
